name,lon,lat
a1,115.28479,36.06203
a2,114.01086,34.88858
a3,114.6635,35.78092
a4,114.69913,36.74812
a5,115.15459,35.72666
a6,115.00762,34.34724
a7,115.8389,34.82016
a8,115.6333,35.80695
a9,113.25566,36.17411
a10,114.38688,36.17918
a11,113.98949,34.46523
a12,113.27733,34.83935
a13,113.19147,34.13826
a14,114.08107,35.50552
a15,113.52745,36.07031
a16,114.77,34.75565
a17,114.48188,36.91741
a18,113.75545,35.83042
a19,115.3517,34.64897
a20,113.35942,34.14076
a21,115.89949,35.22908
a22,113.66684,34.25751
a23,115.01648,36.19214
a24,113.16032,35.59858
a25,113.55351,34.67869
a26,115.53827,36.40328
a27,113.96363,35.0574
a28,115.45875,36.71541
a29,113.72928,36.64855
a30,115.00517,36.42561
a31,114.7159,34.96011
a32,115.32406,35.62308
a33,114.81687,35.0598
a34,113.29946,36.0415
a35,115.39111,34.24639
a36,114.51832,34.591
a37,114.11434,36.79496
a38,114.34579,34.50153
a39,115.00847,35.4872
a40,115.7577,34.15963
a41,114.56645,34.27397
a42,114.07511,34.95904
a43,114.7729,34.41169
a44,113.35788,35.38055
a45,114.43537,36.3306
a46,113.86696,36.51393
a47,115.44694,35.84168
a48,113.95287,35.76251
a49,113.89323,35.86253
a50,115.65927,34.17297
a51,113.84895,36.25099
a52,115.18676,36.18095
a53,113.91407,36.38512
a54,114.61278,34.43039
a55,113.48342,35.87956
a56,115.40689,34.61281
a57,114.99528,36.82479
a58,114.77872,36.24408
a59,115.57105,35.27689
a60,114.49711,35.97082
a61,115.60944,36.58243
a62,115.00078,36.48954
a63,113.41699,34.65217
a64,113.68756,34.25482
a65,114.85305,34.25036
a66,113.96362,36.96755
a67,115.02794,34.5677
a68,113.80494,35.88346
a69,113.4301,35.26068
a70,114.00958,35.92815
a71,113.26929,35.48423
a72,113.67596,34.22046
a73,115.98733,34.32809
a74,115.28325,34.99227
a75,114.95378,36.85594
a76,115.3191,36.34654
a77,113.23464,36.0453
a78,114.67844,35.09756
a79,115.12222,36.73522
