name2,lon2,lat2
b1,115.40744,36.40488
b2,113.86381,35.73947
b3,114.27486,35.87913
b4,113.87894,34.28302
b5,113.25789,36.5018
b6,115.17167,35.25457
b7,115.35921,36.18752
b8,113.80409,35.87233
b9,114.68509,35.88628
b10,114.16921,35.83598
b11,115.24061,34.69022
b12,114.84113,34.69688
b13,114.55564,35.41414
b14,115.26401,34.31816
b15,114.10418,34.36795
b16,115.29487,34.86855
b17,115.44395,34.23138
b18,114.16487,36.2444
b19,115.29835,36.05518
b20,115.32355,35.26733
b21,113.99475,36.27371
b22,115.96956,35.78498
b23,115.78499,35.72783
b24,115.28774,34.35067
b25,114.63202,36.41152
b26,113.48474,36.47754
b27,115.69385,34.62096
b28,115.58817,34.47933
b29,113.68117,36.07919
b30,113.33641,34.76378
b31,114.72429,34.17123
b32,115.56547,36.0478
b33,115.36923,35.75498
b34,113.97573,36.53175
b35,115.74393,34.43358
b36,114.72056,34.22376
b37,115.30885,35.56388
b38,115.13536,36.64621
b39,115.73143,35.44292
b40,115.82054,35.07119
b41,114.17074,36.17601
b42,113.90334,36.88124
b43,115.90234,36.114
b44,115.99715,35.70998
b45,115.27959,35.35885
b46,113.95298,36.77807
b47,115.40508,35.80511
b48,114.72485,36.92642
b49,115.75583,36.55408
b50,114.06141,35.87936
b51,115.98544,35.72626
b52,113.21287,36.80472
b53,115.20364,35.12398
b54,115.00087,34.2189
b55,115.51881,36.51212
b56,115.01339,36.33521
b57,115.83784,35.85557
b58,114.52283,35.39782
b59,113.64741,36.07485
b60,114.9157,34.28387
b61,114.29303,36.11599
b62,115.37064,35.09942
b63,114.19002,34.60139
b64,113.80296,35.37801
b65,115.45654,34.57317
b66,114.52962,34.36361
b67,115.40456,36.79849
b68,115.98601,34.29221
b69,113.47976,35.6366
b70,114.19483,36.72412
b71,114.70553,36.9873
b72,115.11538,36.76192
b73,114.16696,36.30902
b74,113.2316,36.36093
b75,115.37062,35.52463
b76,113.86663,36.39883
b77,114.94702,35.62853
b78,115.97773,36.56783
b79,114.21276,36.3856
b80,115.96582,35.94701
b81,115.55445,36.03741
b82,115.46741,34.74607
b83,113.69997,34.81218
b84,113.15598,35.9014
b85,115.13597,35.47942
b86,114.77283,34.86473
b87,114.9142,34.34722
b88,113.27643,36.17411
b89,113.26811,34.11658
b90,113.12509,34.12199
b91,114.54251,36.45103
b92,114.73885,34.11766
b93,113.32119,36.88027
b94,115.78266,35.36669
b95,115.55868,35.14997
b96,114.79884,35.31442
b97,114.00903,34.65461
b98,115.36896,34.6231
b99,113.33207,34.97928
b100,114.48468,35.87196
b101,114.5356,35.68016
b102,113.16066,35.91502
b103,114.15995,34.94138
b104,113.93059,35.25214
b105,114.69329,35.69294
b106,113.41243,36.3849
b107,115.53876,34.7073
b108,114.82727,34.73983
b109,114.06535,36.6305
b110,115.66547,35.61195
b111,115.00317,34.73272
b112,113.72956,35.41337
b113,114.03694,36.74697
b114,114.97293,34.31662
b115,114.47172,35.05204
b116,113.25953,36.17338
b117,114.89952,34.7647
b118,114.07231,35.15941
b119,115.40225,36.03145
b120,114.76257,34.33329
b121,114.13128,34.72596
b122,113.35053,36.05957
b123,115.68412,35.2251
b124,114.94818,34.8235
b125,115.85581,36.061
b126,114.72028,36.69589
b127,114.11423,36.91396
b128,115.55581,34.20301
b129,113.89542,34.14599
b130,115.60289,36.79497
b131,115.95337,34.9829
b132,114.61511,36.63622
b133,115.2625,35.26019
b134,114.58114,35.74469
b135,113.43428,36.22876
b136,113.19613,36.2612
b137,114.39238,36.99785
b138,115.63067,35.22295
b139,114.81815,35.6802
b140,115.10706,35.47282
b141,115.45544,34.47978
b142,115.30837,35.35122
b143,114.54134,36.77951
b144,114.37085,36.02615
b145,114.02449,35.43621
b146,113.33971,35.85545
b147,114.77436,36.47651
b148,115.84128,36.98623
b149,115.50184,35.16218
b150,114.27371,36.06631
b151,113.60565,35.5985
b152,115.70727,36.78904
b153,113.92034,36.83198
b154,113.12805,34.79372
b155,115.75848,35.45796
b156,115.33147,36.32687
b157,114.32202,35.46205
b158,115.5478,36.54375
b159,115.2043,36.0924
b160,113.16246,36.07558
b161,114.58032,36.69308
b162,115.14922,34.27991
b163,114.01685,35.7526
b164,113.77584,36.46252
b165,115.14032,36.0463
b166,114.17579,36.09013
b167,115.44035,36.80664
